Type(类型)	Name（视图名/表名）	Description（描述）
Other	        Cover	
Other	        Change Tracking	
Other	        sheet_index_template	
Other	        Diagram	
View	        DBA_2PC_NEIGHBORS	
View	        DBA_2PC_PENDING	
View	        DBA_ADDM_FDG_BREAKDOWN	
View	        DBA_ADDM_FINDINGS	
View	        DBA_ADDM_INSTANCES	
View	        DBA_ADDM_SYSTEM_DIRECTIVES	
View	        DBA_ADDM_TASKS	
View	        DBA_ADDM_TASK_DIRECTIVES	
View	        DBA_ADVISOR_ACTIONS	
View	        DBA_ADVISOR_COMMANDS	
View	        DBA_ADVISOR_DEFINITIONS	
View	        DBA_ADVISOR_DEF_PARAMETERS	
View	        DBA_ADVISOR_DIR_DEFINITION	
View	        DBA_ADVISOR_DIR_INSTANCES	
View	        DBA_ADVISOR_DIR_TASK_INST	
View	        DBA_ADVISOR_EXECUTIONS	
View	        DBA_ADVISOR_EXECUTION_TYPE	
View	        DBA_ADVISOR_EXEC_PARAMETER	
View	        DBA_ADVISOR_FDG_BREAKDOWN	
View	        DBA_ADVISOR_FINDINGS	
View	        DBA_ADVISOR_FINDING_NAMES	
View	        DBA_ADVISOR_JOURNAL	
View	        DBA_ADVISOR_LOG	
View	        DBA_ADVISOR_OBJECTS	
View	        DBA_ADVISOR_OBJECT_TYPES	
View	        DBA_ADVISOR_PARAMETERS	
View	        DBA_ADVISOR_PARAMETERS_PRO	
View	        DBA_ADVISOR_RATIONALE	
View	        DBA_ADVISOR_RECOMMENDATION	
View	        DBA_ADVISOR_SQLA_COLVOL	
View	        DBA_ADVISOR_SQLA_REC_SUM	
View	        DBA_ADVISOR_SQLA_TABLES	
View	        DBA_ADVISOR_SQLA_TABVOL	
View	        DBA_ADVISOR_SQLA_WK_MAP	
View	        DBA_ADVISOR_SQLA_WK_STMTS	
View	        DBA_ADVISOR_SQLA_WK_SUM	
View	        DBA_ADVISOR_SQLPLANS	
View	        DBA_ADVISOR_SQLSTATS	
View	        DBA_ADVISOR_SQLW_COLVOL	
View	        DBA_ADVISOR_SQLW_JOURNAL	
View	        DBA_ADVISOR_SQLW_PARAMETER	
View	        DBA_ADVISOR_SQLW_STMTS	
View	        DBA_ADVISOR_SQLW_SUM	
View	        DBA_ADVISOR_SQLW_TABLES	
View	        DBA_ADVISOR_SQLW_TABVOL	
View	        DBA_ADVISOR_SQLW_TEMPLATES	
View	        DBA_ADVISOR_TASKS	
